t,ua,ub,uc,omega_mech,theta_mech,theta_e,ia,ib,ic,id,iq,T_em
0.144,0,0,0.15,-1.92066,-0.261431,-0.522477,-0.474824,0.432385,0.042439,-0.523824,-0.0418514,-0.0016322
0.145,0,0,0.15,-1.92053,-0.263351,-0.526318,-0.408625,0.368532,0.0400931,-0.448581,-0.0413131,-0.00161121
0.146,0,0,0.15,-1.92036,-0.265272,-0.530159,-0.342693,0.304381,0.0383118,-0.373329,-0.0407618,-0.00158971
0.147,0,0,0.15,-1.92016,-0.267192,-0.534,-0.277034,0.239938,0.0370962,-0.298072,-0.0401985,-0.00156774
0.148,0,0,0.15,-1.91994,-0.269112,-0.53784,-0.211653,0.175206,0.0364476,-0.222811,-0.0396246,-0.00154536
0.149,0,0,0.15,-1.91969,-0.271032,-0.541679,-0.146557,0.110188,0.0363681,-0.14755,-0.0390421,-0.00152264
0.15,0,0,0.15,-1.91941,-0.272951,-0.545518,-0.0817494,0.0448896,0.0368598,-0.0722896,-0.0384535,-0.00149969
0.151,0,0,0.15,-1.91909,-0.27487,-0.549357,-0.0172379,-0.0206871,0.037925,0.0029675,-0.0378611,-0.00147658
0.152,0,0,0.15,-1.91875,-0.276789,-0.553195,0.0469721,-0.0865379,0.0395658,0.0782191,-0.0372675,-0.00145343
0.153,0,0,0.15,-1.91838,-0.278708,-0.557032,0.110875,-0.152659,0.0417839,0.153463,-0.0366746,-0.00143031
0.154,0,0,0.15,-1.91798,-0.280626,-0.560869,0.174465,-0.219046,0.0445808,0.228697,-0.0360843,-0.00140729
0.155,0,0,0.15,-1.91755,-0.282544,-0.564704,0.237737,-0.285694,0.0479573,0.303919,-0.0354981,-0.00138443
0.156,0,0,0.15,-1.9171,-0.284461,-0.568539,0.300686,-0.3526,0.0519137,0.379126,-0.0349167,-0.00136175
0.157,0,0,0.15,-1.91661,-0.286378,-0.572373,0.363308,-0.419757,0.0564499,0.454317,-0.0343407,-0.00133929
